,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,100,0.05,-237.24530781769607,-237.7305509820536,-244.7319184261106,11,11
0,100,0.05,-267.27534637661745,-267.2677281977123,-277.94810614016075,12,13
0,100,0.05,-255.7142465119693,-255.56858804160908,-259.3105696945265,9,8
0,100,0.05,-257.47923271039076,-253.76616013402295,-255.15741167207835,11,10
0,100,0.05,-259.1919234667665,-259.1919234667665,-266.28691575769034,12,12
0,100,0.05,-252.03753800532496,-250.386653087036,-255.99379323674833,11,12
0,100,0.05,-273.5360385801667,-272.6976841330254,-280.18712420659983,11,11
0,100,0.05,-260.3681505704309,-260.3681505704309,-269.2757452632936,13,12
0,100,0.05,-258.30552158394374,-258.55017702497645,-266.2540928070789,11,10
0,100,0.05,-255.5354003355761,-254.76602125136512,-260.9029044942071,10,9
0,300,0.05,-748.7992814135057,-746.0057754487397,-758.361711383329,14,19
0,300,0.05,-702.6591172132427,-702.6591172132424,-713.482789512474,15,15
0,300,0.05,-714.4656948773035,-714.4275164918787,-724.8341720386811,8,9
0,300,0.05,-751.1615711769725,-752.1352499678594,-760.7939636365652,14,13
0,300,0.05,-669.6527826434517,-669.6527826434511,-677.2811881018029,12,12
0,300,0.05,-749.2846809641615,-748.6966626488897,-757.2066310306163,12,11
0,300,0.05,-672.7118225302265,-672.7118225302265,-679.3580509413944,8,9
0,300,0.05,-748.9714778405153,-747.5573221920957,-756.8417785318716,15,14
0,300,0.05,-695.1511546806356,-684.9972837611833,-699.0916658355638,13,12
0,300,0.05,-736.066864943576,-736.066864943576,-744.4457376780636,12,12
0,500,0.05,-1183.068351314367,-1183.0683513143676,-1192.4868993376176,11,12
0,500,0.05,-1172.2048192677148,-1172.204819267715,-1183.8230488379347,12,13
0,500,0.05,-1208.2643240901239,-1207.3079128226364,-1213.7703351848797,10,10
0,500,0.05,-1194.438367469367,-1194.4383674693659,-1206.0433035678564,14,14
0,500,0.05,-1176.8755663790741,-1176.8755663790753,-1185.1025375975469,15,16
0,500,0.05,-1140.1089970785965,-1139.960855531976,-1150.4685436141235,8,10
0,500,0.05,-1149.9436492930251,-1149.9436492930251,-1161.5461329134096,10,10
0,500,0.05,-1247.2985792590216,-1247.4674720536186,-1259.4951940661526,12,12
0,500,0.05,-1157.3867123853486,-1157.3867123853504,-1170.1760980274803,14,14
0,500,0.05,-1157.0400980693014,-1157.0400980693014,-1166.9348018061908,7,7
0,800,0.05,-1839.5414853891614,-1838.7399244388705,-1848.428414309334,14,14
0,800,0.05,-1819.6747227811836,-1819.7485559534275,-1830.535666563994,10,10
0,800,0.05,-1898.118070935011,-1896.5640905348787,-1906.8740329485443,6,9
0,800,0.05,-1788.7133675887724,-1788.9639635503702,-1802.864831240521,12,11
0,800,0.05,-1945.5500262722298,-1942.9479570617946,-1953.3839134856846,6,11
0,800,0.05,-1832.6842877446747,-1832.949176007825,-1845.8523859488066,6,10
0,800,0.05,-1874.6112562499263,-1873.8482528693114,-1884.41740644483,7,9
0,800,0.05,-1849.1884193827839,-1848.478473535203,-1856.7971160348613,10,10
0,800,0.05,-1829.9040774415696,-1830.74508176704,-1833.170615974666,7,8
0,800,0.05,-1855.7803609878033,-1854.7751754070714,-1865.410820510798,6,10
0,1000,0.05,-2344.2582248619447,-2343.7545929774974,-2355.1998578168887,7,9
0,1000,0.05,-2309.169606472091,-2322.016254970233,-2318.306887537092,12,12
0,1000,0.05,-2310.567037457271,-2309.947664147435,-2318.170351270497,7,9
0,1000,0.05,-2278.7065952224243,-2279.2428448106566,-2292.7451177663834,7,11
0,1000,0.05,-2317.1038671420956,-2315.7237002527336,-2326.023574250108,4,11
0,1000,0.05,-2290.526745724145,-2290.2106034842786,-2299.978630590278,4,8
0,1000,0.05,-2293.846591658294,-2295.5000032707535,-2305.6003144345896,10,11
0,1000,0.05,-2332.8738563666016,-2330.4350609404773,-2341.9326402125935,6,8
0,1000,0.05,-2284.527723304994,-2285.2796686308875,-2293.94026134635,7,9
0,1000,0.05,-2331.3078216931144,-2330.185456345587,-2338.3129602247755,9,7
