,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,100,0.02,-5756.808539372318,-5756.808539372318,-6062.924056358068,74,74
0,100,0.02,-5796.9295757740665,-5796.9295757740665,-6106.009788380228,91,91
0,100,0.02,-5764.478805695621,-5764.478805695621,-6038.4791318045045,75,75
0,100,0.02,-5755.460860108871,-5755.155813093167,-6081.588206270491,78,77
0,100,0.02,-5779.945981064846,-5783.852218743345,-6118.606701657123,75,78
0,100,0.02,-5720.893928671017,-5723.773718421748,-6043.605024338443,80,82
0,100,0.02,-5754.352521343756,-5753.6200447267365,-6079.39760206995,67,69
0,100,0.02,-5710.626307577294,-5711.893082735067,-6079.332334260507,80,83
0,100,0.02,-5790.150053020102,-5792.476154187948,-6147.992509592863,85,86
0,100,0.02,-5803.61760662553,-5803.61760662553,-6150.384486955481,74,74
0,300,0.02,-16215.2192940427,-16219.536949452837,-16893.71854998714,61,62
0,300,0.02,-16223.074562960022,-16227.566933075668,-16917.663599701107,50,55
0,300,0.02,-16322.84289522078,-16330.689729150907,-17034.81084121295,48,51
0,300,0.02,-16249.51684227091,-16260.60084689411,-16872.62398710379,59,64
0,300,0.02,-16376.372620191612,-16375.739394524133,-17047.235239697235,66,67
0,300,0.02,-16241.96010803673,-16245.46457349533,-16919.3035196401,62,65
0,300,0.02,-16299.142813820055,-16305.25030670904,-17002.573295032038,65,70
0,300,0.02,-16393.25681322212,-16407.173122092245,-17114.21755092004,60,65
0,300,0.02,-16091.206523331555,-16099.738895274299,-16734.670065403396,60,65
0,300,0.02,-16217.395114045672,-16223.837109080816,-16863.989014846597,64,68
0,500,0.02,-26583.37008346179,-26598.936924425852,-27529.23850681501,61,66
0,500,0.02,-26373.896354003467,-26391.085981834633,-27364.767323126238,58,61
0,500,0.02,-26593.467869656368,-26605.90855795433,-27680.99147301851,49,54
0,500,0.02,-26323.91215889162,-26338.337757968962,-27250.900211272423,62,67
0,500,0.02,-26417.15370354697,-26422.53169063476,-27311.77510852658,62,65
0,500,0.02,-26488.874720025764,-26492.058052794535,-27461.524573798775,56,60
0,500,0.02,-26415.108775868113,-26417.312682373562,-27354.52384453299,57,60
0,500,0.02,-26403.582668515446,-26408.60505315566,-27372.515657907134,59,63
0,500,0.02,-26658.41043574263,-26665.364798062856,-27636.840082119666,54,57
0,500,0.02,-26494.010519190862,-26510.29666638927,-27483.09697297937,56,62
0,800,0.02,-41548.89054042081,-41565.90012942818,-42863.88153201603,66,71
0,800,0.02,-41492.66124159892,-41512.31472068178,-42812.700229840324,59,64
0,800,0.02,-41523.05652870515,-41525.11690403861,-42728.16212096651,65,69
0,800,0.02,-41445.20630560163,-41451.08200466706,-42781.27913034724,52,55
0,800,0.02,-41649.82208364122,-41668.71046263627,-42867.07850739077,56,60
0,800,0.02,-41626.58723215483,-41641.7008595394,-42872.26347404292,57,62
0,800,0.02,-41544.72935830698,-41551.17096331021,-42772.13128567451,50,53
0,800,0.02,-41567.341514948326,-41584.418318987315,-42892.59551489538,48,55
0,800,0.02,-41465.87554602439,-41485.55361034321,-42786.39628853525,54,59
0,800,0.02,-41612.44862046947,-41628.184798387534,-42971.80710366506,60,65
0,1000,0.02,-51558.83775768287,-51579.160260920966,-53053.59983414203,52,56
0,1000,0.02,-51601.38963227155,-51604.43552487596,-53056.822886353584,57,61
0,1000,0.02,-51445.30946775787,-51448.769385453816,-52925.42140193966,64,68
0,1000,0.02,-51271.20489819927,-51289.876900993615,-52745.28668869779,56,61
0,1000,0.02,-51635.731169332554,-51657.08414324993,-53143.39742062282,53,57
0,1000,0.02,-51745.82188023638,-51765.14351194138,-53208.0881539014,60,64
0,1000,0.02,-51728.50471314588,-51744.70095536787,-53250.19301171177,64,68
0,1000,0.02,-51572.6484080125,-51580.98930182041,-53105.7055108695,52,55
0,1000,0.02,-51397.745278600836,-51404.72361254533,-52802.60827942789,59,62
0,1000,0.02,-51491.43938636222,-51495.76047986533,-52919.08888028946,57,60
0,3000,0.02,-151269.03718962125,-151290.73509577088,-153540.77420660577,72,78
0,3000,0.02,-151071.10338229185,-151107.06741957422,-153464.6027467979,58,64
0,3000,0.02,-151068.96005034578,-151068.96005034578,-153410.65794823391,65,65
0,3000,0.02,-151009.4752450423,-151009.47524504227,-153518.1387832253,61,61
0,3000,0.02,-151081.4969038529,-151104.3408881311,-153592.62094882448,63,67
0,3000,0.02,-151116.4659987229,-151140.28595266474,-153626.30719438713,61,66
0,3000,0.02,-151141.11687259332,-151166.3495082135,-153640.53171768994,60,65
0,3000,0.02,-151164.28840081877,-151190.9841051032,-153520.00054262078,65,72
0,3000,0.02,-150750.68524376152,-150771.84680858016,-153235.90514820616,60,65
0,3000,0.02,-150875.61889574985,-150900.12144846006,-153462.96382194207,59,64
0,5000,0.02,-249581.73828391393,-249640.1531805369,-252424.54103240033,59,65
0,5000,0.02,-250124.26084047565,-250217.642880744,-252600.3862630928,56,62
0,5000,0.02,-250066.476394924,-250154.8730457384,-252939.88861591436,52,58
0,5000,0.02,-249825.15008445017,-249883.5811644889,-252689.6593516672,56,62
0,5000,0.02,-249641.81099454017,-249744.6638495222,-252495.12545010025,45,54
0,5000,0.02,-250532.76495700385,-250622.00139816134,-253221.23113622837,63,68
0,5000,0.02,-249820.3083949504,-249876.4858996636,-252765.36013607512,54,62
0,5000,0.02,-249725.7328046878,-249784.26344319418,-252457.31311635967,64,70
0,5000,0.02,-249578.2651186896,-249666.7909424977,-252292.3493770257,53,62
0,5000,0.02,-250392.59026608063,-250454.66331986728,-253062.33785618836,64,71
