,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,100,0.02,-1612.6173912681334,-1611.8507302079356,-1761.2528690978668,58,59
0,100,0.02,-1613.2623809981708,-1611.6053288022943,-1753.711905643894,73,75
0,100,0.02,-1685.346245130105,-1685.1209172516176,-1800.535629145968,49,50
0,100,0.02,-1508.2188860251774,-1505.6883154188479,-1628.0678787026231,62,64
0,100,0.02,-1569.8784018068468,-1569.8784018068468,-1686.9690665544983,50,50
0,100,0.02,-1619.3464521986964,-1619.3464521986964,-1761.0491327262655,56,56
0,100,0.02,-1556.3214323721415,-1555.6539829480744,-1673.3645555660532,53,54
0,100,0.02,-1615.6109131431372,-1612.1074896294297,-1765.6119724227353,54,56
0,100,0.02,-1640.5591879785952,-1640.3004185128866,-1790.834705108629,59,60
0,100,0.02,-1638.296458264365,-1637.9778323863297,-1759.0991257953435,48,49
0,300,0.02,-4510.265384875762,-4509.8651967068545,-4659.766064280699,47,48
0,300,0.02,-4433.804769855886,-4434.233323861092,-4585.015593168048,45,47
0,300,0.02,-4417.240379875433,-4417.239141494112,-4570.617964489783,47,48
0,300,0.02,-4544.102030139643,-4544.102030139643,-4623.703959689,44,44
0,300,0.02,-4542.682176366217,-4541.5299672335195,-4700.146271504013,50,52
0,300,0.02,-4492.844025850471,-4492.168646201121,-4644.161274910111,47,49
0,300,0.02,-4464.183318465752,-4464.183318465752,-4616.151235845354,46,46
0,300,0.02,-4499.080202447938,-4499.080202447938,-4627.767275832019,40,40
0,300,0.02,-4402.48114645724,-4402.48114645724,-4495.176074000852,45,45
0,300,0.02,-4499.126326307261,-4499.117051933352,-4661.748533924079,54,55
0,500,0.02,-7200.303194940765,-7200.167019371217,-7329.788045583682,46,47
0,500,0.02,-7302.866843649858,-7302.866843649858,-7403.199972186381,44,44
0,500,0.02,-7239.3365230289,-7239.3365230289,-7279.299474683011,42,42
0,500,0.02,-7409.085257636476,-7409.085257636476,-7520.400739154413,57,57
0,500,0.02,-7349.048727655593,-7349.048727655593,-7390.749071582115,46,46
0,500,0.02,-7244.53708595475,-7244.53708595475,-7445.550216410171,38,38
0,500,0.02,-7329.572035939058,-7329.572035939058,-7434.327134784837,37,37
0,500,0.02,-7281.070590152618,-7277.737585332809,-7463.763854060737,31,33
0,500,0.02,-7427.465117469107,-7427.465117469107,-7479.747337929028,38,38
0,500,0.02,-7131.68227210952,-7131.68227210952,-7307.125726862114,32,32
