,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,100,0.08,-796.737260512769,-796.737260512769,-797.0657016769887,10,10
0,100,0.08,-807.2337518098957,-807.2337518098957,-827.6550909406915,15,15
0,100,0.08,-820.6384516500343,-820.6384516500343,-830.175631300441,15,15
0,100,0.08,-812.7883109295325,-812.7883109295325,-814.9852330447657,10,10
0,100,0.08,-849.0338153144554,-849.0338153144554,-865.2281178087226,11,11
0,100,0.08,-852.5487927948291,-852.5487927948291,-857.6853868239557,13,13
0,100,0.08,-824.5104915797582,-823.3579512172857,-838.0711477580043,18,18
0,100,0.08,-828.8080205754899,-828.8080205754899,-838.2862192717212,14,14
0,100,0.08,-837.3114792460573,-837.3114792460573,-850.2333130696994,9,9
0,100,0.08,-836.2008530109947,-835.8707735602093,-849.8942465303339,6,9
0,300,0.08,-2391.840242645365,-2391.840242645365,-2389.3425230971466,6,6
0,300,0.08,-2318.6824776609246,-2325.410777891737,-2334.5689656317154,5,6
0,300,0.08,-2311.6732741276824,-2311.6732741276824,-2323.9105629967853,5,5
0,300,0.08,-2366.9033387974705,-2366.9033387974705,-2358.0767981241097,12,12
0,300,0.08,-2446.304541812788,-2446.304541812788,-2453.3380102251363,6,6
0,300,0.08,-2375.3969467286074,-2375.396946728608,-2383.5062505500387,7,9
0,300,0.08,-2330.57875075708,-2330.57875075708,-2329.860663545252,12,12
0,300,0.08,-2323.562367371112,-2323.562367371112,-2329.7859099133866,7,7
0,300,0.08,-2323.943305489736,-2330.772051165255,-2332.5285014003866,5,6
0,300,0.08,-2278.3184666578236,-2278.3184666578236,-2281.968750781832,8,8
0,500,0.08,-3787.7403012279856,-3787.7403012279856,-3792.4604110234764,2,2
0,500,0.08,-3758.098686135405,-3758.098686135405,-3749.8180786256435,6,6
0,500,0.08,-3732.1203505730186,-3732.1203505730186,-3733.5941285463196,4,4
0,500,0.08,-3888.819640299411,-3888.819640299411,-3868.6602528914113,7,7
0,500,0.08,-3823.711786846514,-3823.711786846514,-3825.737220268399,5,5
0,500,0.08,-3867.0760839739173,-3867.0760839739173,-3872.2790233179153,5,5
0,500,0.08,-3871.0646754685067,-3871.0646754685067,-3857.923257229191,8,8
0,500,0.08,-3720.5418089765467,-3725.8116521779907,-3721.9144760723807,9,10
0,500,0.08,-3835.4544848775085,-3835.4544848775085,-3829.855414197326,9,9
0,500,0.08,-3831.5481280538233,-3831.5481280538233,-3839.7533823963336,3,3
0,800,0.08,-6010.193362043949,-6010.193362043949,-5992.853484332928,6,6
0,800,0.08,-5914.474545719943,-5945.412671883088,-5926.416573920984,6,8
0,800,0.08,-5967.701683008717,-5967.701683008717,-5957.349985875656,7,7
0,800,0.08,-5977.049915007034,-5977.049915007034,-5983.3442061444775,5,5
0,800,0.08,-6056.513086266572,-6056.513086266572,-6056.513086266571,7,7
0,800,0.08,-5900.449095640394,-5900.449095640394,-5901.370734451282,8,8
0,800,0.08,-6037.122789191743,-6037.122789191743,-6004.569552866677,8,8
0,800,0.08,-6001.297900127391,-6001.297900127391,-5984.110734212378,7,7
0,800,0.08,-6028.87122152374,-6028.871221523739,-6017.119497562613,6,7
0,800,0.08,-5933.169110645356,-5933.169110645356,-5933.169110645358,7,7
0,1000,0.08,-7516.356572088252,-7516.356572088252,-7495.002497344191,7,7
0,1000,0.08,-7492.759017655854,-7492.759017655854,-7492.759017655853,7,7
0,1000,0.08,-7534.30463966733,-7534.30463966733,-7511.021440487996,7,7
