,Unnamed: 0,Unnamed: 0.1,sample_size,weight,best_priori_score,best_origin_score,origin_score,priori_dis,origin_dis
0,0,0.0,100,0.02,-5744.301589206387,-5744.189646939074,-6084.394141940731,90,92
1,1,0.0,300,0.02,-16253.72613688392,-16259.989733078146,-16937.628930061048,87,92
2,2,0.0,500,0.02,-26530.10206505273,-26539.58333363493,-27517.075566531457,85,87
3,3,0.0,800,0.02,-41797.73854345305,-41778.35188974501,-43066.24366396968,78,69
4,4,0.0,1000,0.02,-51436.6469154294,-51436.6469154294,-52935.71688516648,58,58
5,5,0.0,3000,0.02,-151159.65648782704,-151159.656487827,-153510.02853288705,79,79
6,6,0.0,5000,0.02,-249916.2809759144,-249886.5127463184,-252657.35922742487,93,82
7,0,0.0,100,0.02,-5775.429171938844,-5778.369914353156,-6110.849218113352,92,94
8,1,0.0,100,0.02,-5701.545414634886,-5701.545414634886,-6007.993777558751,88,88
9,2,0.0,300,0.02,-16153.766163761804,-16158.275849538326,-16841.890713790217,70,75
10,3,0.0,300,0.02,-16295.17271491879,-16295.17271491879,-17081.008694332264,75,75
11,4,0.0,500,0.02,-26367.714565867405,-26383.63591060652,-27379.887488466167,68,76
12,5,0.0,500,0.02,-26617.099004865035,-26622.91867763716,-27648.9876668211,61,67
13,6,0.0,800,0.02,-41417.5399774411,-41432.886705903344,-42711.09220081845,63,71
14,7,0.0,800,0.02,-41615.956197307096,-41615.956197307096,-43019.7427320982,67,67
15,8,0.0,1000,0.02,-51361.55041244571,-51380.66670860886,-52818.88028711814,63,70
16,9,0.0,1000,0.02,-51590.89606237399,-51590.89606237399,-52925.2533246623,83,83
17,10,0.0,3000,0.02,-150505.49827998175,-150536.32426232676,-153035.10703320097,68,77
18,11,0.0,3000,0.02,-151351.01534970626,-151376.49136530876,-153723.7067476036,70,79
19,12,0.0,5000,0.02,-250084.503990511,-250087.5440009573,-252740.11571081512,72,80
20,13,0.0,5000,0.02,-249618.48066018528,-249709.2730133564,-252283.07273628545,67,77
21,0,0.0,100,0.02,-5751.609354444277,-5754.455071313303,-6068.189153791041,81,86
22,1,0.0,100,0.02,-5675.624981897076,-5677.278444219073,-6010.2850550396415,105,103
23,2,0.0,100,0.02,-5744.818381517671,-5743.346770144354,-6119.756916781802,114,110
24,3,0.0,300,0.02,-16292.972240276227,-16292.972240276227,-16943.97518154171,71,73
25,4,0.0,300,0.02,-16212.870917870629,-16212.870917870629,-16934.95868677959,83,83
26,5,0.0,300,0.02,-16046.41697756821,-16059.830793177076,-16753.135875341748,68,86
27,6,0.0,500,0.02,-26298.1836095024,-26298.1836095024,-27211.735045013567,87,87
28,7,0.0,500,0.02,-26430.202117939123,-26419.62201841295,-27275.057180418407,94,92
29,8,0.0,500,0.02,-26530.65524654761,-26540.94909487129,-27536.150632419445,77,82
30,9,0.0,800,0.02,-41491.79720349027,-41491.30431468044,-42839.19689917056,66,72
31,10,0.0,800,0.02,-41492.4675438776,-41491.4847754867,-42770.215480958665,80,86
32,11,0.0,800,0.02,-41423.16706003831,-41424.44137792132,-42717.3410925374,69,75
33,12,0.0,1000,0.02,-51626.77602208012,-51626.77602208012,-52996.89540350311,92,92
34,13,0.0,1000,0.02,-51592.38636571451,-51592.38636571451,-53110.81183856757,75,75
35,14,0.0,1000,0.02,-51537.98714452185,-51537.987144521845,-52994.74338975041,73,73
36,15,0.0,3000,0.02,-151317.61551377625,-151360.802004123,-153647.45847251872,71,80
37,16,0.0,3000,0.02,-151055.69967464684,-151078.25275826908,-153445.06685517472,74,82
38,17,0.0,3000,0.02,-150598.9193731923,-150618.547839133,-152873.3385376712,87,95
39,18,0.0,5000,0.02,-249838.0705835349,-249847.9244261005,-252463.9535907806,79,84
40,19,0.0,5000,0.02,-249665.34054022035,-249676.87595550308,-252177.01477928244,68,73
41,20,0.0,5000,0.02,-249855.6608999499,-249874.0308739172,-252602.3920282656,78,84
0,0,,100,0.02,-5713.5095335118485,-5719.015182265309,-6069.150317258624,86,95
1,0,,100,0.02,-5773.019236750773,-5773.071339471638,-6119.421980527208,111,113
2,0,,100,0.02,-5741.968456813456,-5743.084412148129,-6117.38449364686,97,103
3,0,,100,0.02,-5743.942362335783,-5744.389752376322,-6060.137961805744,94,101
4,0,,300,0.02,-16218.013481063494,-16218.013481063494,-16886.3292183876,82,82
5,0,,300,0.02,-16211.551023447828,-16211.551023447828,-16896.122752595395,69,69
6,0,,300,0.02,-16226.542171656783,-16231.410254619075,-16899.493586171688,80,86
